State,Transaction_year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount,latitude,longitude
andhra-pradesh,2021,2,krishna,36370960,90021923050,15.9129,79.739987
andhra-pradesh,2021,2,chittoor,34344902,73654690122,15.9129,79.739987
andhra-pradesh,2021,2,guntur,32968819,82356914464,15.9129,79.739987
andhra-pradesh,2021,2,east godavari,31717908,74604325864,15.9129,79.739987
andhra-pradesh,2021,2,spsr nellore,30290406,72283071757,15.9129,79.739987
andhra-pradesh,2021,2,anantapur,25123346,60987487571,15.9129,79.739987
andhra-pradesh,2021,2,kurnool,21972396,56659287475,15.9129,79.739987
andhra-pradesh,2021,2,west godavari,20950964,57233116236,15.9129,79.739987
andhra-pradesh,2021,2,prakasam,19944047,54535328043,15.9129,79.739987
andhra-pradesh,2021,3,visakhapatnam,69220981,1.37E+11,15.9129,79.739987
andhra-pradesh,2021,3,krishna,44828275,1.04E+11,15.9129,79.739987
andhra-pradesh,2021,3,chittoor,42628568,89371931753,15.9129,79.739987
andhra-pradesh,2021,3,guntur,41675093,96525353090,15.9129,79.739987
andhra-pradesh,2021,3,east godavari,39572714,89380370073,15.9129,79.739987
andhra-pradesh,2021,3,spsr nellore,34411958,77839676988,15.9129,79.739987
andhra-pradesh,2021,3,anantapur,30366444,70291248156,15.9129,79.739987
andhra-pradesh,2021,3,kurnool,26377809,62527453762,15.9129,79.739987
andhra-pradesh,2021,3,west godavari,26245039,66647238455,15.9129,79.739987
andhra-pradesh,2021,3,prakasam,24116580,63367713447,15.9129,79.739987
andhra-pradesh,2021,4,visakhapatnam,82711538,1.60E+11,15.9129,79.739987
andhra-pradesh,2021,4,krishna,55489829,1.25E+11,15.9129,79.739987
andhra-pradesh,2021,4,chittoor,51119640,1.04E+11,15.9129,79.739987
andhra-pradesh,2021,4,guntur,50919286,1.16E+11,15.9129,79.739987
andhra-pradesh,2021,4,east godavari,48992531,1.07E+11,15.9129,79.739987
andhra-pradesh,2021,4,spsr nellore,41921081,92256405076,15.9129,79.739987
andhra-pradesh,2021,4,anantapur,36129136,81239787007,15.9129,79.739987
andhra-pradesh,2021,4,west godavari,33235175,81292461575,15.9129,79.739987
andhra-pradesh,2021,4,kurnool,31782248,73968947670,15.9129,79.739987
andhra-pradesh,2021,4,prakasam,27858275,71323060008,15.9129,79.739987
andhra-pradesh,2022,1,visakhapatnam,88233362,1.70E+11,15.9129,79.739987
andhra-pradesh,2022,1,krishna,61826199,1.40E+11,15.9129,79.739987
andhra-pradesh,2022,1,chittoor,58561024,1.18E+11,15.9129,79.739987
andhra-pradesh,2022,1,guntur,57226996,1.30E+11,15.9129,79.739987
andhra-pradesh,2022,1,east godavari,54738830,1.21E+11,15.9129,79.739987
andhra-pradesh,2022,1,spsr nellore,47645702,1.05E+11,15.9129,79.739987
andhra-pradesh,2022,1,anantapur,40613148,90197023268,15.9129,79.739987
andhra-pradesh,2022,1,west godavari,37271259,92397939904,15.9129,79.739987
andhra-pradesh,2022,1,kurnool,35093633,81568420501,15.9129,79.739987
andhra-pradesh,2022,1,prakasam,31340975,79494373255,15.9129,79.739987
andhra-pradesh,2022,2,visakhapatnam,101387402,1.93E+11,15.9129,79.739987
andhra-pradesh,2022,2,krishna,73525814,1.64E+11,15.9129,79.739987
andhra-pradesh,2022,2,chittoor,67507661,1.36E+11,15.9129,79.739987
andhra-pradesh,2022,2,guntur,66315749,1.47E+11,15.9129,79.739987
andhra-pradesh,2022,2,east godavari,62072845,1.36E+11,15.9129,79.739987
andhra-pradesh,2022,2,spsr nellore,54838708,1.22E+11,15.9129,79.739987
andhra-pradesh,2022,2,anantapur,46099366,1.02E+11,15.9129,79.739987
andhra-pradesh,2022,2,west godavari,44409239,1.08E+11,15.9129,79.739987
andhra-pradesh,2022,2,kurnool,40165692,92409350856,15.9129,79.739987
andhra-pradesh,2022,2,prakasam,36163507,90435082546,15.9129,79.739987
andhra-pradesh,2022,3,visakhapatnam,97434546,1.81E+11,15.9129,79.739987
andhra-pradesh,2022,3,krishna,71051144,1.54E+11,15.9129,79.739987
andhra-pradesh,2022,3,chittoor,65751781,1.33E+11,15.9129,79.739987
andhra-pradesh,2022,3,guntur,65612317,1.42E+11,15.9129,79.739987
andhra-pradesh,2022,3,east godavari,61467134,1.30E+11,15.9129,79.739987
andhra-pradesh,2022,3,anantapur,45165363,97735649608,15.9129,79.739987
andhra-pradesh,2022,3,west godavari,43635951,1.02E+11,15.9129,79.739987
andhra-pradesh,2022,3,spsr nellore,42116582,95099325968,15.9129,79.739987
andhra-pradesh,2022,3,kurnool,39557913,88415335176,15.9129,79.739987
andhra-pradesh,2022,3,prakasam,35376080,87475230073,15.9129,79.739987
andhra-pradesh,2022,4,visakhapatnam,103790055,1.85E+11,15.9129,79.739987
andhra-pradesh,2022,4,krishna,76526667,1.58E+11,15.9129,79.739987
andhra-pradesh,2022,4,guntur,70723763,1.47E+11,15.9129,79.739987
andhra-pradesh,2022,4,chittoor,70322534,1.37E+11,15.9129,79.739987
andhra-pradesh,2022,4,east godavari,68016055,1.37E+11,15.9129,79.739987
andhra-pradesh,2022,4,anantapur,48299601,1.02E+11,15.9129,79.739987
andhra-pradesh,2022,4,west godavari,47919930,1.05E+11,15.9129,79.739987
andhra-pradesh,2022,4,kurnool,43524766,94667441029,15.9129,79.739987
andhra-pradesh,2022,4,spsr nellore,42582064,92085916181,15.9129,79.739987
andhra-pradesh,2022,4,prakasam,37211077,88105031866,15.9129,79.739987
arunachal-pradesh,2018,1,papum pare,14224,32555848.46,26.879641,80.56982
arunachal-pradesh,2018,1,west kameng,5787,9540632.547,26.879641,80.56982
arunachal-pradesh,2018,1,lohit,3747,11496949.55,26.879641,80.56982
arunachal-pradesh,2018,1,east siang,3286,5533620.186,26.879641,80.56982
arunachal-pradesh,2018,1,changlang,3195,5380749.415,26.879641,80.56982
arunachal-pradesh,2018,1,tawang,2334,5055665.023,26.879641,80.56982
arunachal-pradesh,2018,1,longding,2321,4361531.578,26.879641,80.56982
arunachal-pradesh,2018,1,west siang,1887,4796675.565,26.879641,80.56982
arunachal-pradesh,2018,1,lower subansiri,1477,3650727.894,26.879641,80.56982
arunachal-pradesh,2018,1,namsai,1400,2162984.705,26.879641,80.56982
arunachal-pradesh,2018,2,papum pare,25363,66520931.2,26.879641,80.56982
arunachal-pradesh,2018,2,west kameng,10466,25521321.34,26.879641,80.56982
arunachal-pradesh,2018,2,lohit,6962,20520618.88,26.879641,80.56982
arunachal-pradesh,2018,2,east siang,6363,15285584.2,26.879641,80.56982
arunachal-pradesh,2018,2,changlang,6066,13294258.5,26.879641,80.56982
arunachal-pradesh,2018,2,tawang,5447,13722374.81,26.879641,80.56982
arunachal-pradesh,2018,2,longding,4634,10271170.17,26.879641,80.56982
arunachal-pradesh,2018,2,namsai,3230,6271811.328,26.879641,80.56982
arunachal-pradesh,2018,2,west siang,2579,7610989.567,26.879641,80.56982
arunachal-pradesh,2018,2,lower siang,2292,2179451.658,26.879641,80.56982
arunachal-pradesh,2018,3,papum pare,43282,101080479.3,26.879641,80.56982
arunachal-pradesh,2018,3,west kameng,17026,48528147.45,26.879641,80.56982
arunachal-pradesh,2018,3,lohit,11595,32702331.66,26.879641,80.56982
