State,Year,Quarter,Brand,Transaction_count,Percentage,latitude,longitude
andaman-&-nicobar-islands,2020,1,Samsung,5335,0.188064016,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Oppo,2557,0.090136774,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Realme,1511,0.053264241,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,OnePlus,1184,0.041737169,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Huawei,891,0.031408629,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Apple,735,0.025909475,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Motorola,715,0.025204456,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Lenovo,500,0.017625494,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Others,2257,0.079561478,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Xiaomi,7805,0.238612045,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Vivo,7122,0.217731581,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Samsung,6030,0.184347294,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Oppo,2976,0.090981351,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Realme,1761,0.053836747,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,OnePlus,1271,0.038856619,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Huawei,1005,0.030724549,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Apple,792,0.024212779,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Motorola,779,0.023815347,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Lenovo,552,0.016875573,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Others,2617,0.080006114,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Xiaomi,9794,0.236942059,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Vivo,9556,0.231184226,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Samsung,7572,0.183186162,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Oppo,3730,0.090238297,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Realme,2285,0.055280029,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,OnePlus,1440,0.034837305,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Huawei,1213,0.029345591,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Motorola,907,0.021942664,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Apple,870,0.021047538,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Lenovo,606,0.014660699,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Others,3362,0.08133543,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,Xiaomi,12398,0.236621116,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,Vivo,12275,0.234273609,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,Samsung,9938,0.189670967,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,Oppo,4723,0.090140469,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,Realme,2996,0.057179937,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,OnePlus,1638,0.031261928,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,Huawei,1472,0.028093748,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,Motorola,1032,0.01969616,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,Apple,973,0.01857012,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,Lenovo,708,0.013512482,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,Others,4243,0.080979464,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,Vivo,13812,0.239135704,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,Xiaomi,13714,0.237438969,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,Samsung,10861,0.188043215,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,Oppo,5158,0.089303646,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,Realme,3419,0.059195263,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,OnePlus,1773,0.030697046,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,Huawei,1575,0.02726895,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,Motorola,1062,0.018387063,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,Apple,1056,0.018283182,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,Tecno,796,0.013781641,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,Others,4532,0.078465321,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,Vivo,15056,0.242467187,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,Xiaomi,14788,0.23815122,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,Samsung,11476,0.184813592,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,Oppo,5456,0.087865368,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,Realme,4034,0.064964973,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,OnePlus,1981,0.03190273,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,Huawei,1559,0.025106691,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,Apple,1153,0.018568323,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,Motorola,1054,0.016973991,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,Tecno,974,0.015685643,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,Others,4564,0.073500282,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,Vivo,16411,0.245006121,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,Xiaomi,15938,0.237944522,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,Samsung,12028,0.179570631,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,Oppo,5853,0.087381685,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,Realme,4808,0.071780478,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,OnePlus,2306,0.03442716,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,Huawei,1567,0.023394345,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,Apple,1283,0.0191544,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,Tecno,1178,0.017586814,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,Motorola,1017,0.015183184,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,Others,4593,0.068570661,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,Vivo,17597,0.245151853,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,Xiaomi,16968,0.236388966,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,Samsung,12574,0.175174143,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,Oppo,6127,0.085358038,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,Realme,5830,0.081220396,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,OnePlus,2691,0.037489551,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,Apple,1490,0.020757871,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,Huawei,1459,0.020325996,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,Tecno,1417,0.019740875,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,Motorola,1055,0.014697687,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,Others,4572,0.063694622,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,Vivo,18688,0.244966443,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,Xiaomi,17957,0.235384333,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,Samsung,12955,0.169817009,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,Realme,6769,0.088729551,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,Oppo,6461,0.084692219,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,OnePlus,3005,0.039390206,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,Tecno,1770,0.023201552,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,Apple,1634,0.021418834,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,Huawei,1441,0.018888947,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,Motorola,1050,0.013763633,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,Others,4558,0.059747273,11.740087,96.65864
andhra-pradesh,2018,1,Xiaomi,836581,0.250739858,15.9129,79.739987
andhra-pradesh,2018,1,Samsung,683687,0.204914505,15.9129,79.739987
andhra-pradesh,2018,1,Vivo,425959,0.12766833,15.9129,79.739987
andhra-pradesh,2018,1,Oppo,304487,0.091260771,15.9129,79.739987
andhra-pradesh,2018,1,Realme,236646,0.070927483,15.9129,79.739987
andhra-pradesh,2018,1,Motorola,129739,0.038885342,15.9129,79.739987
andhra-pradesh,2018,1,OnePlus,129421,0.038790031,15.9129,79.739987
andhra-pradesh,2018,1,Apple,123274,0.036947654,15.9129,79.739987
andhra-pradesh,2018,1,Lenovo,84138,0.025217821,15.9129,79.739987
andhra-pradesh,2018,1,Huawei,76654,0.022974719,15.9129,79.739987
andhra-pradesh,2018,1,Others,305864,0.091673485,15.9129,79.739987
andhra-pradesh,2018,2,Xiaomi,1113800,0.252990319,15.9129,79.739987
andhra-pradesh,2018,2,Samsung,903290,0.20517474,15.9129,79.739987
andhra-pradesh,2018,2,Vivo,586965,0.133324172,15.9129,79.739987
andhra-pradesh,2018,2,Oppo,410549,0.093252759,15.9129,79.739987
andhra-pradesh,2018,2,Realme,305964,0.069497154,15.9129,79.739987
andhra-pradesh,2018,2,Motorola,169847,0.03857932,15.9129,79.739987
andhra-pradesh,2018,2,OnePlus,155418,0.035301894,15.9129,79.739987
andhra-pradesh,2018,2,Apple,151847,0.034490771,15.9129,79.739987
andhra-pradesh,2018,2,Lenovo,107441,0.024404321,15.9129,79.739987
andhra-pradesh,2018,2,Huawei,102929,0.023379458,15.9129,79.739987
andhra-pradesh,2018,2,Others,394490,0.089605092,15.9129,79.739987
andhra-pradesh,2018,3,Xiaomi,1385112,0.255197078,15.9129,79.739987
andhra-pradesh,2018,3,Samsung,1103186,0.203254209,15.9129,79.739987
andhra-pradesh,2018,3,Vivo,761793,0.140354966,15.9129,79.739987
andhra-pradesh,2018,3,Oppo,518120,0.095459941,15.9129,79.739987
andhra-pradesh,2018,3,Realme,379712,0.069959247,15.9129,79.739987
andhra-pradesh,2018,3,Motorola,203756,0.0375406,15.9129,79.739987
andhra-pradesh,2018,3,OnePlus,181364,0.033415033,15.9129,79.739987
andhra-pradesh,2018,3,Apple,175343,0.032305706,15.9129,79.739987
andhra-pradesh,2018,3,Huawei,134429,0.024767591,15.9129,79.739987
andhra-pradesh,2018,3,Lenovo,122489,0.022567731,15.9129,79.739987
andhra-pradesh,2018,3,Others,462313,0.085177897,15.9129,79.739987
andhra-pradesh,2018,4,Xiaomi,1753802,0.255752865,15.9129,79.739987
andhra-pradesh,2018,4,Samsung,1388061,0.202417706,15.9129,79.739987
andhra-pradesh,2018,4,Vivo,1011185,0.147458756,15.9129,79.739987
andhra-pradesh,2018,4,Oppo,675093,0.098447242,15.9129,79.739987
andhra-pradesh,2018,4,Realme,476746,0.06952276,15.9129,79.739987
andhra-pradesh,2018,4,Motorola,250601,0.036544561,15.9129,79.739987
andhra-pradesh,2018,4,OnePlus,210161,0.03064729,15.9129,79.739987
andhra-pradesh,2018,4,Apple,209737,0.030585459,15.9129,79.739987
