State,Transaction_Year,Quarter,District,RegisteredUsers,latitude,longitude
andhra-pradesh,2022,4,chittoor district,2636036,15.9129,79.739987
arunachal-pradesh,2018,1,lower subansiri district,498,26.879641,80.56982
arunachal-pradesh,2018,1,tirap district,557,26.879641,80.56982
arunachal-pradesh,2018,1,papum pare district,7649,26.879641,80.56982
arunachal-pradesh,2018,1,anjaw district,278,26.879641,80.56982
arunachal-pradesh,2018,1,lower siang district,270,26.879641,80.56982
arunachal-pradesh,2018,1,dibang valley district,66,26.879641,80.56982
arunachal-pradesh,2018,1,west kameng district,2202,26.879641,80.56982
arunachal-pradesh,2018,1,shi yomi district,49,26.879641,80.56982
arunachal-pradesh,2018,1,east kameng district,222,26.879641,80.56982
arunachal-pradesh,2018,1,lohit district,1207,26.879641,80.56982
arunachal-pradesh,2018,1,lepa rada district,210,26.879641,80.56982
arunachal-pradesh,2018,1,lower dibang valley district,601,26.879641,80.56982
arunachal-pradesh,2018,1,longding district,256,26.879641,80.56982
arunachal-pradesh,2018,1,west siang district,846,26.879641,80.56982
arunachal-pradesh,2018,1,kamle district,22,26.879641,80.56982
arunachal-pradesh,2018,1,upper siang district,301,26.879641,80.56982
arunachal-pradesh,2018,1,kurung kumey district,97,26.879641,80.56982
arunachal-pradesh,2018,1,siang district,192,26.879641,80.56982
arunachal-pradesh,2018,1,kra daadi district,88,26.879641,80.56982
arunachal-pradesh,2018,1,changlang district,1208,26.879641,80.56982
arunachal-pradesh,2018,1,pakke kessang district,39,26.879641,80.56982
arunachal-pradesh,2018,1,east siang district,1803,26.879641,80.56982
arunachal-pradesh,2018,1,upper subansiri district,572,26.879641,80.56982
arunachal-pradesh,2018,1,tawang district,1525,26.879641,80.56982
arunachal-pradesh,2018,1,namsai district,737,26.879641,80.56982
arunachal-pradesh,2018,2,lower subansiri district,724,26.879641,80.56982
arunachal-pradesh,2018,2,tirap district,856,26.879641,80.56982
arunachal-pradesh,2018,2,papum pare district,11418,26.879641,80.56982
arunachal-pradesh,2018,2,anjaw district,410,26.879641,80.56982
arunachal-pradesh,2018,2,lower siang district,494,26.879641,80.56982
arunachal-pradesh,2018,2,dibang valley district,112,26.879641,80.56982
arunachal-pradesh,2018,2,west kameng district,3442,26.879641,80.56982
