State,Transaction_Year,Quarters,District,RegisteredUsers,latitude,longitude
andhra-pradesh,2019,4,guntur,1158708,15.9129,79.739987
andhra-pradesh,2019,4,chittoor,1156351,15.9129,79.739987
andhra-pradesh,2019,4,anantapur,873033,15.9129,79.739987
andhra-pradesh,2019,4,kurnool,846885,15.9129,79.739987
andhra-pradesh,2019,4,west godavari,750078,15.9129,79.739987
andhra-pradesh,2019,4,spsr nellore,697154,15.9129,79.739987
andhra-pradesh,2019,4,prakasam,673522,15.9129,79.739987
andhra-pradesh,2020,1,visakhapatnam,1763581,15.9129,79.739987
andhra-pradesh,2020,1,krishna,1331602,15.9129,79.739987
andhra-pradesh,2020,1,east godavari,1329664,15.9129,79.739987
andhra-pradesh,2020,1,guntur,1289678,15.9129,79.739987
andhra-pradesh,2020,1,chittoor,1270907,15.9129,79.739987
andhra-pradesh,2020,1,anantapur,971850,15.9129,79.739987
andhra-pradesh,2020,1,kurnool,936293,15.9129,79.739987
andhra-pradesh,2020,1,west godavari,843835,15.9129,79.739987
andhra-pradesh,2020,1,spsr nellore,775440,15.9129,79.739987
andhra-pradesh,2020,1,prakasam,748655,15.9129,79.739987
andhra-pradesh,2020,2,visakhapatnam,1904719,15.9129,79.739987
andhra-pradesh,2020,2,east godavari,1459116,15.9129,79.739987
andhra-pradesh,2020,2,krishna,1459041,15.9129,79.739987
andhra-pradesh,2020,2,guntur,1426271,15.9129,79.739987
andhra-pradesh,2020,2,chittoor,1385916,15.9129,79.739987
andhra-pradesh,2020,2,anantapur,1076953,15.9129,79.739987
andhra-pradesh,2020,2,kurnool,1035093,15.9129,79.739987
andhra-pradesh,2020,2,west godavari,944829,15.9129,79.739987
andhra-pradesh,2020,2,spsr nellore,854459,15.9129,79.739987
andhra-pradesh,2020,2,prakasam,830709,15.9129,79.739987
andhra-pradesh,2020,3,visakhapatnam,2058346,15.9129,79.739987
andhra-pradesh,2020,3,east godavari,1601940,15.9129,79.739987
andhra-pradesh,2020,3,krishna,1599289,15.9129,79.739987
andhra-pradesh,2020,3,guntur,1567595,15.9129,79.739987
andhra-pradesh,2020,3,chittoor,1506503,15.9129,79.739987
andhra-pradesh,2020,3,anantapur,1186851,15.9129,79.739987
andhra-pradesh,2020,3,kurnool,1132240,15.9129,79.739987
andhra-pradesh,2020,3,west godavari,1053674,15.9129,79.739987
andhra-pradesh,2020,3,spsr nellore,937176,15.9129,79.739987
andhra-pradesh,2020,3,prakasam,915240,15.9129,79.739987
andhra-pradesh,2020,4,visakhapatnam,2209658,15.9129,79.739987
andhra-pradesh,2020,4,east godavari,1746280,15.9129,79.739987
andhra-pradesh,2020,4,krishna,1744028,15.9129,79.739987
andhra-pradesh,2020,4,guntur,1712940,15.9129,79.739987
andhra-pradesh,2020,4,chittoor,1631331,15.9129,79.739987
andhra-pradesh,2020,4,anantapur,1295872,15.9129,79.739987
andhra-pradesh,2020,4,kurnool,1230466,15.9129,79.739987
andhra-pradesh,2020,4,west godavari,1163179,15.9129,79.739987
andhra-pradesh,2020,4,spsr nellore,1022944,15.9129,79.739987
andhra-pradesh,2020,4,prakasam,999462,15.9129,79.739987
andhra-pradesh,2021,1,visakhapatnam,2368081,15.9129,79.739987
andhra-pradesh,2021,1,east godavari,1878769,15.9129,79.739987
andhra-pradesh,2021,1,krishna,1876458,15.9129,79.739987
andhra-pradesh,2021,1,guntur,1843237,15.9129,79.739987
andhra-pradesh,2021,1,chittoor,1751420,15.9129,79.739987
andhra-pradesh,2021,1,anantapur,1394849,15.9129,79.739987
